Position,TIME,TIME2,FL5-Height,FL5-Area,FL5-Width,FSC1-Height,FSC1-Area,FSC1-Width,SSC2-Height,SSC2-Area,SSC2-Width,FL14-Height,FL14-Area,FL14-Width,FL15-Height,FL15-Area,FL15-Width,FL28-Height,FL28-Area,FL28-Width,FL35-Height,FL35-Area,FL35-Width,FL36-Height,FL36-Area,FL36-Width,Sort Classifier
G 12,1508687588,1,2269552,1648978,377487360,1338547936,1103811513,369098752,630502656,548281474,452984832,1105064,979959,436207616,4041312,4764439,2105540608,2857752,2288828,578813952,12518686,12778945,570425344,8417964,6533302,360710144,482476031,
H 9,1571620499,1,3256034,2920679,427819008,1786044870,1594600842,327155712,1144258498,936273989,411041792,6546924,6441828,503316480,29439530,35415342,654311424,31118702,40017186,679477248,903998,707619,671088640,4216102,4849379,671088640,546439167,
H 8,1621379863,1,1328556,1311631,620756992,1777737254,953084944,201326592,463069150,316603323,293601280,1476432,1198735,436207616,23227612,26241767,578813952,21593816,28448736,696254464,266452,63368,125829120,194120,24364,0,545390591,
H 7,1668117548,1,1445104,1188105,914358272,829750670,816016103,503316480,607162986,493693224,411041792,1362778,1200556,436207616,3385466,3896552,796917760,1984268,1298506,562036736,2506714,2374374,662700032,1159252,411618,159383552,544342015,
H 6,1735463541,1,1333300,952652,394264576,1704739614,1131724869,293601280,443629222,331040150,377487360,935552,779775,469762048,7467016,7726087,1115684864,8439228,7947238,478150656,278104,162072,612368384,611974,161662,134217728,543293439,
H 5,1789672923,1,3905830,2978314,335544320,1770225456,1310410682,285212672,1318071104,1081114681,419430400,208495716,165709622,402653184,79740390,66874222,427819008,7637306,5073517,268435456,18656002,18897956,553648128,49985424,49665940,503316480,542244863,
H 4,1843242255,1,2834784,1786965,327155712,1717796470,1000816238,218103808,599453088,381086790,310378496,1707096,1221687,343932928,25550280,24016767,478150656,25605790,26601943,503316480,1004662,528076,461373440,1480226,923168,947912704,541196287,
H 3,1887235561,1,3093636,2685937,822083584,2042917464,1515189159,251658240,1013333072,777483164,377487360,21740456,12942321,260046848,36133962,42272484,562036736,48194550,52367641,545259520,797490,755457,763363328,2211458,2523527,947912704,540147711,
H 2,1934514270,1,2268828,1949949,1124073472,997425594,884200955,411041792,646472064,511953250,402653184,1774794,1434395,436207616,8494474,7725265,394264576,6047462,5541955,486539264,1111558,939508,503316480,1946630,1512415,738197504,539099135,
H 1,1977403791,1,3726412,3523821,486539264,1682539416,1764372851,478150656,1345443980,1171519799,444596224,3109402,2550393,419430400,26799448,27751943,536870912,32373922,32672952,503316480,2079190,1219661,218103808,2221826,2254750,1023410176,538050559,
