Position,TIME,TIME2,FL5-Height,FL5-Area,FL5-Width,FSC1-Height,FSC1-Area,FSC1-Width,SSC2-Height,SSC2-Area,SSC2-Width,FL12-Height,FL12-Area,FL12-Width,FL36-Height,FL36-Area,FL36-Width,Sort Classifier
F 18,603054301,1,557574,707761,788529152,1359005332,2036490049,545259520,813162032,778669944,301989888,81676466,94289421,369098752,26769274,27031174,310378496,421658623,
F 17,640878745,1,506024,510436,461373440,1737727850,150591610,436207616,533658420,477458264,285212672,81311886,75610086,285212672,27510726,26536517,301989888,420610047,
F 16,677811925,1,1205492,1793757,847249408,1925817048,200515680,411041792,448003944,409671984,293601280,39680150,40242781,335544320,15757756,16458570,335544320,419561471,
F 15,714464820,1,903792,1663261,2013265920,1675330458,2077796514,436207616,638570484,573934709,285212672,77254892,89219342,377487360,23278922,24742846,343932928,418512895,
F 14,768893038,1,628688,1277170,1501560832,2015872444,247635761,411041792,1142936814,1028698754,276824064,53556066,47764170,285212672,18900730,16164258,276824064,417464319,
F 13,805901915,1,1295776,2479518,1677721600,2088112904,122179101,352321536,633206370,571007574,285212672,76079968,74759069,310378496,29221398,29056562,318767104,416415743,
F 12,843405019,1,394548,150613,117440512,1965346282,71824581,377487360,577651050,501082408,268435456,65999234,65776120,327155712,29025848,29688503,327155712,415367167,
F 11,880211689,1,982612,2006242,1031798784,2139653080,209760946,369098752,622091948,565570417,285212672,86488036,91286205,335544320,16561902,18033440,369098752,414318591,
F 10,917150661,1,1709902,1426337,612368384,1418228542,1991004820,486539264,741142784,650810299,268435456,68863394,69858227,318767104,17830324,16898065,293601280,413270015,
F 9,955276823,1,584692,696140,637534208,1607254886,2042198829,452984832,610299434,546715337,285212672,64374118,73237274,369098752,20751088,21028027,335544320,412221439,
F 8,992209208,1,1239520,1369226,872415232,1735196678,1896054838,335544320,622615838,574342226,293601280,81242244,82083919,310378496,39994988,44194111,360710144,411172863,
F 7,1030295472,1,1615904,2299184,2046820352,2085617628,72363815,310378496,474326676,429708927,285212672,76505028,71352066,285212672,38964990,32305725,260046848,410124287,
F 6,1067705974,1,1028834,1742078,1392508928,114262047,208820156,318767104,521460252,493881818,301989888,63293884,61636692,301989888,35989834,34134072,285212672,409075711,
F 5,1104080172,1,1952202,1707239,536870912,1556965400,1937674948,427819008,444181618,393708929,276824064,49961376,57117206,369098752,26498492,23009168,276824064,408027135,
F 4,1142009350,1,1374182,818217,150994944,1558228796,2142279565,486539264,428489038,411911497,301989888,54679406,56034381,335544320,21462850,23999881,377487360,406978559,
F 3,1179405368,1,1010766,812206,444596224,1696409480,29924365,444596224,470419698,420217029,276824064,62290730,67299139,335544320,26280640,33897208,394264576,405929983,
F 2,1217030749,1,1019506,1058993,880803840,1521340286,8656776,478150656,635579266,575602231,285212672,48180234,54371381,369098752,16314904,16549237,318767104,404881407,
F 1,1262693100,1,1860388,2588416,1509949440,1446623976,2066402149,478150656,474889988,407162616,268435456,53747638,52319015,301989888,17671308,15811568,293601280,403832831,
G 1,1296000731,1,1453546,2158924,1199570944,1722232388,1999240748,385875968,558763762,510738849,285212672,67627990,70635923,335544320,23006060,25770088,360710144,470941695,
G 2,1331883534,1,1094386,635368,176160768,1493300026,1698385493,385875968,663092102,601331195,285212672,92749962,91040641,310378496,23113218,25020475,327155712,471990271,
